Date, Time, Amount, Type, Description
2023-06-14,01:15:31,4831.78,Deposit,IRS  TREAS 310 TAX REF~ Future Amount: 4831.78 ~ Tran: DDIR
2023-06-13,03:03:30,-594.41,Withdrawal,CAPITAL ONE CRCARDPMT
2023-06-07,02:44:26,-158.40,Withdrawal,AMEX EPAYMENT ACH PMT
2023-06-06,04:53:26,-239.40,Withdrawal,CITI AUTOPAY PAYMENT
2023-06-05,03:55:20,-745.55,Withdrawal,AMEX EPAYMENT ACH PMT
2023-06-02,23:11:15,3.51,Deposit,eCheck Deposit
2023-06-02,03:07:35,-500.00,Withdrawal,WF Inc. EDI PYMNTS
2023-06-01,02:11:04,4974.00,Deposit,FRANCHISE TAX BD CASTTAXRFD~ Future Amount: 4974 ~ Tran: DDIR
2023-05-30,03:59:06,-47.89,Withdrawal,TARGET CARD SRVC AUTO PYMT
2023-05-22,05:27:25,-1191.88,Withdrawal,EARNEST AUTOPAY
2023-05-18,00:57:00,-352.17,Withdrawal,HOA ONLINE PMT~ Future Amount: 352.17 ~ Tran: ACHDW
2023-05-15,23:47:54,0.86,Deposit,Interest Paid
2023-05-12,03:28:45,-367.41,Withdrawal,CAPITAL ONE CRCARDPMT
2023-05-11,05:19:15,2202.30,Deposit,"PAYROLL"
2023-05-09,23:16:21,26.00,Deposit,eCheck Deposit
2023-05-08,04:12:32,-101.73,Withdrawal,AMEX EPAYMENT ACH PMT
2023-05-04,05:15:13,2202.29,Deposit,"PAYROLL"
2023-05-04,05:00:17,-5235.14,Withdrawal,CITI AUTOPAY PAYMENT
2023-05-04,04:21:03,-172.52,Withdrawal,AMEX EPAYMENT ACH PMT
2023-05-02,04:02:41,-500.00,Withdrawal,WF Inc. EDI PYMNTS
2023-05-01,05:54:27,-124.56,Withdrawal,TARGET CARD SRVC AUTO PYMT
2023-04-28,05:20:53,-142.03,Withdrawal,EBMUD UTILITY PM
2023-04-27,04:49:42,2202.29,Deposit,"Room #2"
2023-04-27,04:49:42,2202.31,Deposit,"Room #3"
2023-04-27,04:49:42,2202.28,Deposit,"Room #1"
2023-04-24,03:29:28,-1477.70,Withdrawal,EARNEST AUTOPAY
2023-04-18,01:12:02,-352.17,Withdrawal,HOA ONLINE PMT~ Future Amount: 352.17 ~ Tran: ACHDW
2023-04-15,23:30:41,1.35,Deposit,Interest Paid
2023-04-13,05:10:18,2202.30,Deposit,"PAYROLL"
2023-04-12,03:07:49,-1286.17,Withdrawal,CAPITAL ONE CRCARDPMT
2023-04-07,03:24:13,-321.55,Withdrawal,AMEX EPAYMENT ACH PMT
2023-04-04,04:58:55,-660.87,Withdrawal,CITI AUTOPAY PAYMENT
2023-04-04,04:57:22,-345.12,Withdrawal,AMEX EPAYMENT ACH PMT
2023-04-04,04:08:45,-500.00,Withdrawal,WF Inc. EDI PYMNTS
2023-03-30,17:47:43,720.09,Deposit,"Room #2"
2023-03-29,05:24:24,-42.27,Withdrawal,TARGET CARD SRVC AUTO PYMT
2023-03-24,12:38:11,2202.28,Deposit,"Room #1"
2023-03-24,12:38:11,2202.30,Deposit,"Room #3"
2023-03-22,03:09:26,-1477.70,Withdrawal,EARNEST AUTOPAY
2023-03-21,05:21:09,-9009.90,Withdrawal,PTY TAX PMTS ONLINE WEB
2023-03-21,04:00:59,-167.00,Withdrawal,ST OF CA DMV INTERNET
2023-03-19,21:08:10,-10000.00,Withdrawal,Internet transfer to Online Savings account XXXXXX5491
2023-03-17,01:00:12,-352.17,Withdrawal,HOA ONLINE PMT~ Future Amount: 352.17 ~ Tran: ACHDW
